ResponseId,Age,EdLevel,Employment,WorkExp,YearsCode,DevType,OrgSize,ICorPM,RemoteWork,Industry,Country,Currency,LanguageHaveWorkedWith,DatabaseHaveWorkedWith,annual_salary_usd
1,25-34 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Employed,8,14,"Developer, mobile",20 to 99 employees,People manager,Remote,Fintech,Ukraine,EUR European Euro,Bash/Shell (all shells);Dart;SQL,Cloud Firestore;PostgreSQL,61256
10004,55-64 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Employed,40,46,"Developer, full-stack","10,000 or more employees",Individual contributor,"Your choice (very flexible, you can come in when you want or just as needed)",Computer Systems Design and Services,Germany,EUR European Euro,C#;Java;SQL,H2;MariaDB;Neo4J;Oracle,99773
10016,25-34 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed,2,5,"Developer, full-stack","10,000 or more employees",Individual contributor,Remote,Healthcare,United States of America,USD United States dollar,Bash/Shell (all shells);C#;HTML/CSS;JavaScript;Python;SQL;TypeScript,Microsoft SQL Server;MongoDB,85000
1002,35-44 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Employed,17,18,"Developer, back-end",20 to 99 employees,Individual contributor,Remote,Fintech,Portugal,EUR European Euro,Bash/Shell (all shells);Lua;Rust;SQL;TypeScript,PostgreSQL;Clickhouse,145018
10030,35-44 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed,20,25,"Developer, full-stack","1,000 to 4,999 employees",Individual contributor,"Hybrid (some remote, leans heavy to in-person)",Banking/Financial Services,Australia,AUD	Australian dollar,C#;HTML/CSS;JavaScript;SQL;TypeScript,Elasticsearch;Microsoft SQL Server;Oracle,100765
10053,35-44 years old,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)",Employed,20,25,"Senior executive (C-suite, VP, etc.)",20 to 99 employees,People manager,"Your choice (very flexible, you can come in when you want or just as needed)",Software Development,France,EUR European Euro,Bash/Shell (all shells);C;OCaml,NA,232029
10055,45-54 years old,Some college/university study without earning a degree,Employed,28,28,"Developer, full-stack",20 to 99 employees,Individual contributor,Remote,Software Development,United States of America,USD United States dollar,C#;HTML/CSS;JavaScript;PowerShell;Python;R;SQL;TypeScript,Microsoft SQL Server;PostgreSQL;Redis,215000
10073,25-34 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed,11,11,"Developer, full-stack","10,000 or more employees",People manager,In-person,Software Development,India,INR Indian rupee,Bash/Shell (all shells);HTML/CSS;JavaScript;Python;SQL;TypeScript;VBA,MongoDB;MySQL;PostgreSQL,9299
10074,18-24 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed,NA,6,Student,"10,000 or more employees",Individual contributor,"Hybrid (some in-person, leans heavy to flexibility)",Software Development,United Kingdom of Great Britain and Northern Ireland,GBP Pound sterling,Bash/Shell (all shells);C;C++;Elixir;Java;JavaScript;Python;Rust,MongoDB,29951
10085,25-34 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Employed,4,10,"Developer, full-stack","10,000 or more employees",Individual contributor,"Your choice (very flexible, you can come in when you want or just as needed)","Transportation, or Supply Chain",India,INR Indian rupee,C#;Java;JavaScript;SQL,Microsoft SQL Server;PostgreSQL,20923
10090,18-24 years old,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",Employed,3,10,"Developer, full-stack",20 to 99 employees,Individual contributor,In-person,Software Development,United Kingdom of Great Britain and Northern Ireland,GBP Pound sterling,Bash/Shell (all shells);C#;HTML/CSS;Java;JavaScript;Lua;PowerShell;Python;Rust;TypeScript,Microsoft SQL Server;SQLite,34035
10097,25-34 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Independent contractor, freelancer, or self-employed",13,20,"Developer, back-end",NA,NA,NA,"Internet, Telecomm or Information Services",Slovakia,EUR European Euro,C#;HTML/CSS;JavaScript;TypeScript,Oracle;PostgreSQL;SQLite,90491
10100,18-24 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed,2,6,"Developer, full-stack",20 to 99 employees,Individual contributor,Remote,Other:,Poland,PLN Polish zloty,Bash/Shell (all shells);Elixir;Go;HTML/CSS;JavaScript;Lua;TypeScript,PostgreSQL,26198
1011,35-44 years old,Some college/university study without earning a degree,"Independent contractor, freelancer, or self-employed",15,15,"Developer, desktop or enterprise applications",NA,NA,NA,Software Development,Pakistan,USD United States dollar,Bash/Shell (all shells);C;C#;HTML/CSS;Java;JavaScript;SQL,Microsoft SQL Server;MySQL;PostgreSQL;SQLite,6000
10137,25-34 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed,8,5,"Developer, desktop or enterprise applications",20 to 99 employees,Individual contributor,In-person,Other:,United Kingdom of Great Britain and Northern Ireland,GBP Pound sterling,C#;HTML/CSS;JavaScript;Python;SQL;Swift,Microsoft SQL Server,36758
10138,35-44 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed,14,21,"Developer, back-end",100 to 499 employees,Individual contributor,"Hybrid (some remote, leans heavy to in-person)",Software Development,Hungary,HUF	Hungarian forint,HTML/CSS;JavaScript;PHP;PowerShell;SQL,BigQuery;MySQL;PostgreSQL;Redis;SQLite,52050
1015,65 years or older,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Independent contractor, freelancer, or self-employed",28,35,"Developer, back-end",NA,NA,NA,Healthcare,Canada,CAD Canadian dollar,C++,NA,145917
10151,25-34 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed,4,7,DevOps engineer or professional,20 to 99 employees,Individual contributor,"Hybrid (some in-person, leans heavy to flexibility)",Software Development,Belgium,EUR European Euro,Bash/Shell (all shells);C#;Dart;HTML/CSS;JavaScript;Lua;PowerShell;SQL;TypeScript,Elasticsearch;Microsoft SQL Server;SQLite,51511
10161,18-24 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed,2,3,"Developer, back-end",20 to 99 employees,Individual contributor,In-person,Software Development,India,INR Indian rupee,NA,NA,NA
10164,25-34 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Employed,12,17,"Developer, embedded applications or devices",100 to 499 employees,Individual contributor,"Hybrid (some remote, leans heavy to in-person)",Government,United Kingdom of Great Britain and Northern Ireland,GBP Pound sterling,Bash/Shell (all shells);C;C#;C++;Go;HTML/CSS;JavaScript;PowerShell;Python;Rust;SQL,Microsoft SQL Server;PostgreSQL,98158
10178,25-34 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Employed,5,12,"Developer, full-stack",100 to 499 employees,Individual contributor,"Hybrid (some remote, leans heavy to in-person)",Software Development,France,EUR European Euro,Go;HTML/CSS;JavaScript;PHP;Python;SQL;TypeScript,BigQuery;Elasticsearch;MongoDB;MySQL,55687
10189,35-44 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Employed,12,18,"Developer, back-end","10,000 or more employees",Individual contributor,"Hybrid (some remote, leans heavy to in-person)",Software Development,Czech Republic,CZK	Czech koruna,NA,NA,56167
10192,45-54 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Employed,26,40,Data scientist,"10,000 or more employees",Individual contributor,"Hybrid (some in-person, leans heavy to flexibility)",Software Development,Netherlands,EUR European Euro,Bash/Shell (all shells);C#;C++;Python;SQL;Visual Basic (.Net),Microsoft SQL Server;SQLite,89868
1020,25-34 years old,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",Employed,1,2,"Developer, desktop or enterprise applications",100 to 499 employees,Individual contributor,In-person,Software Development,Russian Federation,RUB	Russian ruble,Java;SQL,Oracle;PostgreSQL,19139
10224,45-54 years old,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)",Employed,30,40,"Developer, front-end",20 to 99 employees,Individual contributor,"Hybrid (some remote, leans heavy to in-person)",Software Development,Germany,EUR European Euro,Bash/Shell (all shells);HTML/CSS;JavaScript;PHP;PowerShell;Python;TypeScript,MariaDB;MongoDB;Redis;SQLite,76570
10232,25-34 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Employed,5,7,"Developer, game or graphics",100 to 499 employees,Individual contributor,In-person,Software Development,India,INR Indian rupee,NA,NA,NA
10237,25-34 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Independent contractor, freelancer, or self-employed",12,15,"Developer, back-end",100 to 499 employees,Individual contributor,Remote,Software Development,Brazil,EUR European Euro,Bash/Shell (all shells);HTML/CSS;JavaScript;PHP;Rust;SQL;TypeScript,PostgreSQL;Redis,66128
10244,55-64 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed,29,34,"Developer, desktop or enterprise applications","1,000 to 4,999 employees",Individual contributor,"Hybrid (some remote, leans heavy to in-person)",Retail and Consumer Services,Germany,EUR European Euro,C#,Microsoft SQL Server,99773
10246,25-34 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed,10,10,"Developer, full-stack","10,000 or more employees",Individual contributor,Remote,Other:,United Kingdom of Great Britain and Northern Ireland,GBP Pound sterling,C#;HTML/CSS;JavaScript;Python;TypeScript,Dynamodb;Snowflake,149756
10264,35-44 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Independent contractor, freelancer, or self-employed",10,11,"Developer, back-end","Just me - I am a freelancer, sole proprietor, etc.",Individual contributor,Remote,Software Development,Poland,PLN Polish zloty,NA,NA,136450
